BE_01_00_00_00	Būvlaukuma sagatavošana (DOP)	Description	Measurements
BE_01_01_00_00	Būvlaukuma nožogojums
BE_01_01_01_00	Žogi
BE_01_01_03_00	Vārti
BE_01_01_05_00	Barjeras
BE_01_01_07_00	Turniketi
BE_01_03_00_00	Esošās apbūves un koku aizsardzība
BE_01_03_01_00	Esošo būvju aizsargsistēmas
BE_01_03_03_00	Esošo inženierkomunikāciju aizsargsistēmas
BE_01_03_05_00	Koku un koku sakņu aizsargsistēmas
BE_01_05_00_00	Pagaidu segumi
BE_01_05_01_00	Pagaidu iebrauktuve
BE_01_05_03_00	Pagaidu ceļi
BE_01_05_05_00	Pagaidu autosstāvieta
BE_01_05_07_00	Būvmateriālu nokraušanas laukumi
BE_01_05_09_00	Beramo būvmateriālu nokraušanas laukums
BE_01_05_11_00	Riteņu mazgāšanas laukums
BE_01_07_00_00	Pilsētiņas izveide
BE_01_07_01_00	Būvlaukuma vadības telpas
BE_01_07_03_00	Strādnieku telpas
BE_01_07_05_00	Noliktavas telpas
BE_01_07_07_00	Apsardzes telpas
BE_01_07_09_00	Sanitātās telpas
BE_01_07_11_00	Tualetes
BE_01_07_13_00	Smēķēšanas vietas
BE_01_09_00_00	Būvlaukuma aprīkojums
BE_01_09_01_00	Sastatņu sistēmas
BE_01_09_03_00	Kustību organizācijas sistēmas
BE_01_09_05_00	Darba drošības aprīkojums
BE_01_09_07_00	Ugunsdrošības aprīkojums
BE_01_09_09_00	Informatīvais aprīkojums
BE_01_09_11_00	Torņa celtņi un to aprīkojums
BE_01_09_13_00	Būvgružu konteineri
BE_01_11_00_00	Pagaidu inženiertīkli
BE_01_11_01_00	Pagaidu elektroapgāde
BE_01_11_03_00	Pagaidu apgaismojums
BE_01_11_05_00	Pagaidu apsardzes signalizācija
BE_01_11_07_00	Pagaidu ūdensapgāde
BE_01_11_09_00	Pagaidu notekūdeņu novadīšana
BE_01_13_00_00	Monitorings un uzraudzība
BE_01_13_01_00	Esošo ēku monitorings
BE_01_13_03_00	Koku monitorings
BE_01_13_05_00	Būvlaukuma video monitorings
BE_01_13_07_00	Ģeotehniskā uzraudzība
BE_01_13_09_00	Ģeodēziskā uzraudzība
BE_01_13_11_00	Strādnieku elektroniskā darba laika uzskaites sistēma
BE_03_00_00_00	Demontējamās sistēmas
BE_03_01_00_00	Demontējamās konstrukcijas
BE_03_03_00_00	Demontējamie iekšējie inženiertīkli
BE_03_05_00_00	Demontējamie teritorijas elementi
BE_03_07_00_00	Demontējamās ailes un atvērumi
BE_03_09_00_00	Cērtamie koki un krūmi
BE_03_11_00_00	Citas demontējamās sistēmas
BE_05_00_00_00	Zemes darbi
BE_05_01_00_00	Ūdens samazināšana
BE_05_03_00_00	Grunts stabilizācija
BE_05_03_01_00	Rievsienas
BE_05_03_03_00	Atbalstsienas
BE_05_03_05_00	Gravitācijas siena
BE_05_03_07_00	Berlīnes tipa atbalstsiena
BE_05_03_09_00	Grunts enkuri, naglas
BE_05_05_00_00	Norokamā grunts
BE_05_05_01_00	Noņemā augsnes kārta
BE_05_05_03_00	Izņemamā piesārņotā grunts
BE_05_05_05_00	Izņemamā nederīgā grunts
BE_05_05_07_00	Uz atbērtni pārvietojamā grunts
BE_07_00_00_00	Būvkonstrukcijas (BK)
BE_07_01_00_00	Pamatne
BE_07_01_01_00	Pieberama pamatne
BE_07_01_03_00	Ieklājama, betonējama pamatne
BE_07_01_05_00	Cita pamatne
BE_07_03_00_00	Grunts pastiprināšana
BE_07_03_01_00	Cementēšana
BE_07_03_03_00	Dinamiskā blīvēšana
BE_07_03_05_00	Grunts pāļi
BE_07_03_07_00	Grunts konsolidācija
BE_07_03_09_00	Vibroflotācija
BE_07_03_11_00	Cita pastiprināšana
BE_07_05_00_00	Pāļi
BE_07_05_01_00	Urbtie pāļi
BE_07_05_03_00	Dzītie pāļi
BE_07_05_05_00	Skrūvpāļi
BE_07_05_07_00	Mikropāļi
BE_07_05_09_00	Citi pāļi
BE_07_07_00_00	Pamati
BE_07_07_01_00	Monolītā dzelzsbetona (MDZB) pamati
BE_07_07_03_00	Saliekamā dzelzsbetona (SDZB) pamati
BE_07_07_05_00	Tērauda pamati
BE_07_07_07_00	Mūra pamati
BE_07_07_09_00	Citi pamati
BE_07_09_00_00	Speciālie pamati
BE_07_09_01_00	Kesoni
BE_07_09_03_00	Citi speciālie pamati
BE_07_11_00_00	Kolonnu bāzes
BE_07_11_01_00	Monolītā dzelzsbetona (MDZB) kolonnu bāzes
BE_07_11_03_00	Tērauda kolonnu bāzes
BE_07_13_00_00	Kolonnas
BE_07_13_01_00	Monolītā dzelzsbetona (MDZB) kolonnas
BE_07_13_03_00	Saliekamā dzelzsbetona (SDZB) kolonnas
BE_07_13_05_00	Tērauda kolonnas
BE_07_13_07_00	Tēraudbetona kolonnas
BE_07_13_09_00	Koka kolonnas
BE_07_13_11_00	Mūra kolonnas
BE_07_13_13_00	Alumīnija kolonnas
BE_07_13_15_00	Kompozīta kolonnas
BE_07_13_17_00	Stikla kolonnas
BE_07_13_19_00	Citas kolonnas
BE_07_15_00_00	Sienas
BE_07_15_01_00	Monolītā dzelzsbetona (MDZB) sienas
BE_07_15_03_00	Saliekamā dzelzsbetona (SDZB) sienas
BE_07_15_05_00	Koka sienas
BE_07_15_07_00	Krusteniski līmēta koka (CLT) sienas
BE_07_15_09_00	Mūra sienas
BE_07_15_11_00	Kompozīta sienas
BE_07_15_13_00	Citas sienas
BE_07_17_00_00	Pārsedzes
BE_07_17_01_00	Monolītā dzelzsbetona (MDZB) pārsedzes
BE_07_17_03_00	Saliekamā dzelzsbetona (SDZB) pārsedzes
BE_07_17_05_00	Tērauda pārsedzes
BE_07_17_07_00	Koka pārsedzes
BE_07_17_09_00	Mūra pārsedzes
BE_07_17_11_00	Kompozīta pārsedzes
BE_07_17_13_00	Citas pārsedzes
BE_07_19_00_00	Pārsegumi
BE_07_19_01_00	Monolītā dzelzsbetona (MDZB) pārsegumi
BE_07_19_03_00	Saliekamā dzelzsbetona (SDZB) pārsegumi
BE_07_19_05_00	Tērauda pārsegumi
BE_07_19_07_00	Tēraudbetona pārsegumi
BE_07_19_09_00	Koka pārsegumi
BE_07_19_11_00	Krusteniski līmēta koka (CLT) pārsegumi
BE_07_19_13_00	Alumīnija pārsegumi
BE_07_19_15_00	Kompozīta pārsegumi
BE_07_19_17_00	Stikla pārsegumi
BE_07_19_19_00	Citi pārsegumi
BE_07_21_00_00	Sijas
BE_07_21_01_00	Monolītā dzelzsbetona (MDZB) sijas
BE_07_21_03_00	Saliekamā dzelzsbetona (SDZB) sijas
BE_07_21_05_00	Tērauda sijas
BE_07_21_07_00	Tēraudbetona sijas
BE_07_21_09_00	Koka sijas
BE_07_21_11_00	Alumīnija sijas
BE_07_21_13_00	Kompozīta sijas
BE_07_21_15_00	Stikla sijas
BE_07_21_17_00	Citas sijas
BE_07_23_00_00	Kopnes, režģotas konstrukcijas
BE_07_23_01_00	Monolītā dzelzsbetona (MDZB) kopnes, režģotas konstrukcijas
BE_07_23_03_00	Saliekamā dzelzsbetona (SDZB) kopnes, režģotas konstrukcijas
BE_07_23_05_00	Tērauda kopnes, režģotas konstrukcijas
